, start_pos, target_pos
1600,442,196
1601,442,28387
1602,28348,196
1603,28348,28387
1604,713,196
1605,713,28387
1606,35255,196
1607,35255,28387
1608,1,197
1609,1,65426
1610,418,197
1611,418,65426
1612,27606,197
1613,27606,65426
1614,1,198
1615,1,65427
1616,418,198
1617,418,65427
1618,27606,198
1619,27606,65427
1620,1,199
1621,1,65428
1622,418,199
1623,418,65428
1624,27606,199
1625,27606,65428
1626,1,200
1627,1,65429
1628,418,200
1629,418,65429
1630,27606,200
1631,27606,65429
1632,1,201
1633,1,29671
1634,418,201
1635,418,29671
1636,27606,201
1637,27606,29671
1638,184,201
1639,184,29671
1640,28482,201
1641,28482,29671
1642,1,202
1643,1,65430
1644,418,202
1645,418,65430
1646,27606,202
1647,27606,65430
1648,1,203
1649,1,65431
1650,418,203
1651,418,65431
1652,27606,203
1653,27606,65431
1654,1,204
1655,1,28500
1656,418,204
1657,418,28500
1658,27606,204
1659,27606,28500
1660,163,204
1661,163,28500
1662,28979,204
1663,28979,28500
1664,165,204
1665,165,28500
1666,29472,204
1667,29472,28500
1668,183,204
1669,183,28500
1670,28480,204
1671,28480,28500
1672,189,204
1673,189,28500
1674,28572,204
1675,28572,28500
1676,1,205
1677,1,28503
1678,418,205
1679,418,28503
1680,27606,205
1681,27606,28503
1682,163,205
1683,163,28503
1684,28979,205
1685,28979,28503
1686,165,205
1687,165,28503
1688,29472,205
1689,29472,28503
1690,183,205
1691,183,28503
1692,28480,205
1693,28480,28503
1694,208,205
1695,208,28503
1696,30408,205
1697,30408,28503
1698,1,206
1699,1,65432
1700,418,206
1701,418,65432
1702,27606,206
1703,27606,65432
1704,1,207
1705,1,29683
1706,418,207
1707,418,29683
1708,27606,207
1709,27606,29683
1710,184,207
1711,184,29683
1712,28482,207
1713,28482,29683
1714,1,208
1715,1,30408
1716,418,208
1717,418,30408
1718,27606,208
1719,27606,30408
1720,205,208
1721,205,30408
1722,28503,208
1723,28503,30408
1724,1,209
1725,1,29270
1726,418,209
1727,418,29270
1728,27606,209
1729,27606,29270
1730,181,209
1731,181,29270
1732,29053,209
1733,29053,29270
1734,183,209
1735,183,29270
1736,28480,209
1737,28480,29270
1738,184,209
1739,184,29270
1740,28482,209
1741,28482,29270
1742,187,209
1743,187,29270
1744,65424,209
1745,65424,29270
1746,203,209
1747,203,29270
1748,65431,209
1749,65431,29270
1750,1,210
1751,1,28148
1752,418,210
1753,418,28148
1754,27606,210
1755,27606,28148
1756,154,210
1757,154,28148
1758,29714,210
1759,29714,28148
1760,1,211
1761,1,29692
1762,418,211
1763,418,29692
1764,27606,211
1765,27606,29692
1766,184,211
1767,184,29692
1768,28482,211
1769,28482,29692
1770,1,212
1771,1,65433
1772,418,212
1773,418,65433
1774,27606,212
1775,27606,65433
1776,1,213
1777,1,28151
1778,418,213
1779,418,28151
1780,27606,213
1781,27606,28151
1782,154,213
1783,154,28151
1784,29714,213
1785,29714,28151
1786,203,213
1787,203,28151
1788,65431,213
1789,65431,28151
1790,1,214
1791,1,65434
1792,418,214
1793,418,65434
1794,27606,214
1795,27606,65434
1796,1,215
1797,1,3723
1798,418,215
1799,418,3723
1800,27606,215
1801,27606,3723
1802,13,215
1803,13,3723
1804,10257,215
1805,10257,3723
1806,205,215
1807,205,3723
1808,28503,215
1809,28503,3723
1810,1,216
1811,1,28515
1812,418,216
1813,418,28515
1814,27606,216
1815,27606,28515
1816,163,216
1817,163,28515
1818,28979,216
1819,28979,28515
1820,181,216
1821,181,28515
1822,29053,216
1823,29053,28515
1824,203,216
1825,203,28515
1826,65431,216
1827,65431,28515
1828,1,217
1829,1,28524
1830,418,217
1831,418,28524
1832,27606,217
1833,27606,28524
1834,163,217
1835,163,28524
1836,28979,217
1837,28979,28524
1838,189,217
1839,189,28524
1840,28572,217
1841,28572,28524
1842,205,217
1843,205,28524
1844,28503,217
1845,28503,28524
1846,1,218
1847,1,28204
1848,418,218
1849,418,28204
1850,27606,218
1851,27606,28204
1852,154,218
1853,154,28204
1854,29714,218
1855,29714,28204
1856,165,218
1857,165,28204
1858,29472,218
1859,29472,28204
1860,189,218
1861,189,28204
1862,28572,218
1863,28572,28204
1864,203,218
1865,203,28204
1866,65431,218
1867,65431,28204
1868,205,218
1869,205,28204
1870,28503,218
1871,28503,28204
1872,1,219
1873,1,28527
1874,418,219
1875,418,28527
1876,27606,219
1877,27606,28527
1878,163,219
1879,163,28527
1880,28979,219
1881,28979,28527
1882,165,219
1883,165,28527
1884,29472,219
1885,29472,28527
1886,189,219
1887,189,28527
1888,28572,219
